File,Line,Pattern,Match,Context
DialogEntityDetail.java,819,R_drawable_variable,R.drawable.object_border_dim_white,view.setBackgroundResource(z ? z2 ? R.drawable.object_border_ascended_extra_opaque : R.drawable.object_border_dim_white_extra_opaque : z2 ? R.drawable
DialogItemDetail.java,74,getDrawable,getDrawable(getResources(),"this.binding.item.image.setImageDrawable(ResourcesCompat.getDrawable(getResources(), item.getIdImage(), getContext().getTheme()));"
DialogItemDetail.java,94,getDrawable,getDrawable(getResources(),"this.binding.consume.setImageDrawable(ResourcesCompat.getDrawable(getResources(), ((Consumable) item).printConsumeImage(), getContext().getTheme()));"
DialogItemDetail.java,138,getDrawable,getDrawable(getResources(),"layoutCraftBinding.result.image.setImageDrawable(ResourcesCompat.getDrawable(getResources(), recipes.getResult().getIdImage(), getContext().getTheme()"
DialogItemDetail.java,147,getDrawable,getDrawable(getResources(),"layoutCraftBinding.ingredient1.image.setImageDrawable(ResourcesCompat.getDrawable(getResources(), recipes.getIngredients().get(0).getIdImage(), getCon"
DialogItemDetail.java,159,getDrawable,getDrawable(getResources(),"layoutCraftBinding.ingredient2.image.setImageDrawable(ResourcesCompat.getDrawable(getResources(), recipes.getIngredients().get(1).getIdImage(), getCon"
DialogItemDetail.java,175,getDrawable,getDrawable(getResources(),"layoutCraftBinding.ingredient3.image.setImageDrawable(ResourcesCompat.getDrawable(getResources(), recipes.getIngredients().get(2).getIdImage(), getCon"
DialogMarket.java,252,getDrawable,getDrawable(getContext(),"layoutMarketItemBindingInflate.item.image.setImageDrawable(ResourcesCompat.getDrawable(getContext().getResources(), itemAction.getItem().getIdImage(),"
DialogMarket.java,253,R_drawable_variable,R.drawable.object_border_rounded_left,layoutMarketItemBindingInflate.item.image.setBackgroundResource(R.drawable.object_border_rounded_left);
DialogMergePet.java,54,getDrawable,getDrawable(getResources(),"this.binding.foodSelected.image.setImageDrawable(ResourcesCompat.getDrawable(getResources(), this.selected.getIdImage(), getContext().getTheme()));"
DialogMergePet.java,63,getDrawable,getDrawable(getResources(),"layoutPetFeedingBindingInflate.image.setImageDrawable(ResourcesCompat.getDrawable(getResources(), pet.getIdImage(), getContext().getTheme()));"
DialogPetDetail.java,59,getDrawable,getDrawable(getResources(),"this.binding.detailImage.setImageDrawable(ResourcesCompat.getDrawable(getResources(), this.pet.getIdImage(), getContext().getTheme()));"
DialogPromotionChoices.java,61,R_drawable_variable,R.drawable.object_border_ascended,layoutAdventurerPromotionBindingInflate.containerAdventurer.setBackgroundResource(R.drawable.object_border_ascended);
DialogPromotionChoices.java,62,R_drawable_variable,R.drawable.object_border_rounded_left_ascended,layoutAdventurerPromotionBindingInflate.promotionImage.setBackgroundResource(R.drawable.object_border_rounded_left_ascended);
DialogPromotionChoices.java,63,R_drawable_variable,R.drawable.object_border_rounded_right_ascended,layoutAdventurerPromotionBindingInflate.promotionLevelup.setBackgroundResource(R.drawable.object_border_rounded_right_ascended);
DialogPromotionChoices.java,66,getDrawable,getDrawable(getResources(),"layoutAdventurerPromotionBindingInflate.promotionImage.setImageDrawable(ResourcesCompat.getDrawable(getResources(), adventurer.getImageId(), getContex"
DialogPromotionChoices.java,74,getDrawable,getDrawable(getResources(),"layoutAdventurerPromotionBindingInflate.doctrine.setImageDrawable(ResourcesCompat.getDrawable(getResources(), adventurer.getDoctrine().getIdImage(), g"
DialogPromotionChoices.java,75,getDrawable,getDrawable(getResources(),"layoutAdventurerPromotionBindingInflate.promotionLevelup.setImageDrawable(ResourcesCompat.getDrawable(getResources(), R.drawable.check_brass, getConte"
DialogPromotionChoices.java,75,R_drawable_variable,R.drawable.check_brass,"layoutAdventurerPromotionBindingInflate.promotionLevelup.setImageDrawable(ResourcesCompat.getDrawable(getResources(), R.drawable.check_brass, getConte"
DialogRecallAdventurers.java,66,getDrawable,getDrawable(getResources(),"layoutAdventurerBindingInflate.image.setImageDrawable(ResourcesCompat.getDrawable(getResources(), next.getImageId(), getContext().getTheme()));"
DialogRecallAdventurers.java,74,getDrawable,getDrawable(getResources(),"layoutAdventurerBindingInflate.doctrine.setImageDrawable(ResourcesCompat.getDrawable(getResources(), next.getDoctrine().getIdImage(), getContext().get"
DialogSelectEquipment.java,79,R_drawable_variable,R.drawable.object_border_rounded_left,this.binding.equipped.item.image.setBackgroundResource(R.drawable.object_border_rounded_left);
DialogSelectEquipment.java,99,getDrawable,getDrawable(getResources(),"this.binding.equipped.item.image.setImageDrawable(ResourcesCompat.getDrawable(getResources(), accessory.getIdImage(), getContext().getTheme()));"
DialogSelectEquipment.java,120,R_drawable_variable,R.drawable.object_border_rounded_left,layoutSelectEquipmentBindingInflate.item.image.setBackgroundResource(R.drawable.object_border_rounded_left);
DialogSelectEquipment.java,121,getDrawable,getDrawable(getResources(),"layoutSelectEquipmentBindingInflate.item.image.setImageDrawable(ResourcesCompat.getDrawable(getResources(), equipment.getIdImage(), getContext().getTh"
DialogSell.java,54,getDrawable,getDrawable(getResources(),"this.binding.item.image.setImageDrawable(ResourcesCompat.getDrawable(getResources(), this.item.getIdImage(), getContext().getTheme()));"
DialogSendTeam.java,292,R_drawable_variable,R.drawable.object_border_dim_white,layoutAdventurerBinding.containerAdventurer.setBackgroundResource(R.drawable.object_border_dim_white);
DialogSendTeam.java,293,R_drawable_variable,R.drawable.object_border_dim_white,layoutAdventurerBinding.weapon.setBackgroundResource(R.drawable.object_border_dim_white);
DialogSendTeam.java,294,R_drawable_variable,R.drawable.object_border_dim_white,layoutAdventurerBinding.armor.setBackgroundResource(R.drawable.object_border_dim_white);
DialogSendTeam.java,295,R_drawable_variable,R.drawable.object_border_dim_white,layoutAdventurerBinding.accessory.setBackgroundResource(R.drawable.object_border_dim_white);
DialogSendTeam.java,296,R_drawable_variable,R.drawable.object_border_rounded_left,layoutAdventurerBinding.image.setBackgroundResource(R.drawable.object_border_rounded_left);
DialogSendTeam.java,299,getDrawable,getDrawable(getResources(),"layoutAdventurerBinding.image.setImageDrawable(ResourcesCompat.getDrawable(getResources(), adventurer.getImageId(), getContext().getTheme()));"
DialogSendTeam.java,302,getDrawable,getDrawable(getResources(),"layoutAdventurerBinding.doctrine.setImageDrawable(ResourcesCompat.getDrawable(getResources(), adventurer.getDoctrine().getIdImage(), getContext().getT"
DialogSendTeam.java,342,getDrawable,getDrawable(getResources(),"this.binding.imagePet.setImageDrawable(ResourcesCompat.getDrawable(getResources(), pet.getIdImage(), getContext().getTheme()));"
